L1,L2,L3,L4,R1,R2,R3,R4
4557.2,15059.7,15545.8,15428.4,4435.2,15519.8,18914.8,21621.9
4593.6,14993,15531.4,15368.3,4471.2,15685.7,18823.8,21657.1
4645.6,14993,15475.8,15272.2,4507.6,15861.5,18703.4,21692.9
4713.9,15000.5,15391.5,15119.6,4542.3,16291.3,18568.8,21710.4
4810.5,15085.7,15263.8,14953.3,4580.5,16522.6,18361.8,21706.3
4923.3,15221,15122.1,14774.8,4615.8,16719.1,18130.5,21690.2
5039.9,15377.1,14994.7,14618.8,4659.8,16867.2,17894.2,21654.2
5153,15539.7,14880.9,14505.8,4666.2,16977.7,17667,21600.5
5264.7,15705.9,14878,14446.2,4667.3,17059,17457.4,21524.2
5388.1,15887.3,14873.1,14408.5,4668.2,17117.7,17265.8,21430.9
5504.4,16033.6,14903.1,14372,4657.7,17137.2,17084.6,21320.9
5681.5,16142.6,14956.7,14381,4635.8,17134.7,16925.6,21197.6
5749.3,16276.9,15022.1,14420.5,4613.9,17143.3,16802.8,20984.3
5814.6,16344.8,15075.5,14472.6,4593.7,17143.4,16690.8,20866
5885.7,16422.6,15129.9,14507.2,4578.6,17141.9,16424.5,20731.6
5957.7,16497.2,15183.1,14530.9,4563.8,17145.2,16307.5,20592.3
6013,16537.3,15246.7,14561.7,4552.4,17145.2,16196.1,20456.7
6044.6,16537.3,15331.5,14607.9,4529.8,17066.1,16098.8,20344.4
6044.6,16537.3,15331.5,14607.9,4529.8,17066.1,16098.8,20344.4
6114.1,16540.2,15522.4,14749.1,4535.7,17037,15988,20171.2
6131.7,16499.3,15657.6,14800.3,4545.8,17037,15945,20128.3
6118.4,16411.7,15707.5,14850.8,4562.9,17056.2,15949.6,20128.3
6087.5,16302.5,15734.5,14878.2,4584,17085.8,15978.3,20130.5
6050.1,16185.7,15741.7,14884.5,4609,17120.2,16009.7,20156.9
6050.1,16185.7,15741.7,14884.5,4609,17120.2,16009.7,20156.9
5943.4,15853.5,15746,14870.4,4666.2,17267.6,16114.5,20258.4
5880.3,15692.7,15739.8,14848.7,4694.3,17347.5,16172.7,20331.5
5829.8,15558.3,15718.4,14823.2,4727.3,17439.7,16221.8,20431.3
5829.8,15558.3,15718.4,14823.2,4727.3,17439.7,16221.8,20431.3
5783.7,15371.3,15595.6,14677.8,4852.7,17668.1,16274.1,20645.6
5783.7,15371.3,15595.6,14677.8,4852.7,17668.1,16274.1,20645.6
5783.7,15310.4,15492.9,14559.5,4896.3,17809.7,16274.8,20857.2
5787.2,15311,15082.7,14277,4998.3,18266.2,16270.2,21027.8
5787.2,15311,15082.7,14277,4998.3,18266.2,16270.2,21027.8
5792.3,15379.3,14903.1,14095.8,5053.4,18370.4,16194.3,21086
5806.6,15609.1,14686.8,13853.5,5115.4,18473.4,16119.7,21138.1
5799.1,15676.5,14637.4,13823.1,5128.7,18501.6,16105.5,21138.1
5799.1,15676.5,14637.4,13823.1,5128.7,18501.6,16105.5,21138.1
5773.4,15742.9,14616.6,13825.1,5137,18522.4,16075,21123
5747.9,15821.9,14610.6,13839.4,5138.3,18528.7,16019.1,21071.6
5732.7,15917.6,14614,13863.3,5138.3,18523.5,15949.8,21003.7
5727.9,16024.7,14631.9,13914.8,5119.7,18513.8,15877.6,20930
5760.2,16266.9,14657.8,14013.7,5105.7,18503.4,15701.2,20747.9
5760.2,16266.9,14657.8,14013.7,5105.7,18503.4,15701.2,20747.9
5786.5,16374.8,14676.1,14041.3,5097.4,18486,15606.9,20646.5
5802.4,16453.1,14725.5,14100,5086.4,18440.7,15526.5,20536
5802.4,16490.8,14881.7,14188.1,5074.1,18379.3,15464.7,20417.4
5784.6,16502.6,14994.9,14299.2,5063,18271.3,15411.1,20293.9
5745.3,16510.3,15105,14435,5056.9,18227.3,15355.1,20173.2
5708.9,16513.8,15221.6,14697.9,5049.2,18173.5,15302.2,19963.9
5671.8,16454.1,15377.2,14836.8,5033.4,18124,15271.2,19887.9
5634.3,16326.7,15529.3,14964.9,5021.7,18091.2,15260.4,19840.9
5602,16208.7,15645.5,15061.8,5018.8,18075.2,15260.4,19813.6
5579.7,16087.5,15739.7,15141.4,5016.9,18068.9,15278.3,19799.7
5550,15959.4,15815.8,15207.7,5015.5,18028.6,15313.4,19793.6
5506.1,15823.1,15874.9,15251.9,5014.2,18017.3,15373.2,19809.6
5451.4,15661.1,15931.4,15302,5018.2,17993.9,15454.7,19840.2
5393.7,15484.9,15996.6,15337.4,5029.6,17986.5,15526.6,19875.6
5345.5,15315.5,16113.4,15354,5045.4,17988.1,15585,19921.5
5308.9,15161.7,16171.6,15356.3,5059.7,17995.1,15625.7,19957.9
5308.9,15161.7,16171.6,15356.3,5059.7,17995.1,15625.7,19957.9
5242.3,15015.5,16216.2,15374.3,5078.4,18007.1,15657.9,19989.3
5174.3,14789.4,16289.6,15414.2,5112.1,18079.3,15705.8,20050.5
5142.1,14698.8,16330.3,15448.2,5116.6,18060.6,15741.3,20083
5102.3,14610.1,16371.2,15473.6,5104.5,18018.8,15793.1,20118.1
5053.7,14503.7,16414.1,15507.1,5090.9,17975.2,15875.5,20169.8
5012,14397.2,16457.4,15544.7,5083.6,17939.7,15946.3,20223.1
4983.4,14308.2,16490.9,15571.4,5078.2,17909.5,16004.3,20285.1
4965.5,14201.3,16531.8,15603.2,5073,17869.3,16031.8,20283.8
4965.5,14201.3,16531.8,15603.2,5073,17869.3,16031.8,20283.8
4928.2,14211.9,16554.1,15645.3,5064.4,17898.3,16010,20275.8
4912.2,14232.3,16548.5,15663.6,5061.7,17926.5,16005.8,20280.2
4905.1,14268.6,16548.9,15692,5066.4,17949.3,15947.5,20263.6
4907.2,14325.5,16547.8,15716.1,5073.6,17961.3,15894.3,20228.9
4907.2,14325.5,16547.8,15716.1,5073.6,17961.3,15894.3,20228.9
4914.1,14383.5,16550.5,15736.7,5080.5,17958.9,15840.7,20194.7
4926.2,14487.4,16574.8,15788.9,5069.8,17913.9,15752.5,20103.6
4926.1,14521.4,16576.4,15814.8,5069.8,17913.9,15734,20079.6
4926.1,14521.4,16576.4,15814.8,5069.8,17913.9,15734,20079.6
4926.2,14561.1,16557,15823,5072,17936.5,15702.8,20052.5
4957.9,14651.8,16465.2,15716.3,5121.1,18117,15580.7,20013.8
4957.9,14651.8,16465.2,15716.3,5121.1,18117,15580.7,20013.8
4994.9,14693.6,16393.3,15620.8,5162.7,18240.1,15507,20012.5
5102.1,14843,16237.7,15481.5,5229.9,18513,15273.9,19900.2
5102.1,14843,16237.7,15481.5,5229.9,18513,15273.9,19900.2
5157.6,14926.1,16179.3,15416.5,5259.7,18593.1,15172.6,19841.3
5271.9,15062.5,16108.9,15268.3,5363,18768,14993.4,19665.3
5330.9,15085.7,16096.5,15211.8,5400.4,18861.9,14911.5,19595.3
5330.9,15085.7,16096.5,15211.8,5400.4,18861.9,14911.5,19595.3
5402.4,15129.6,16081.2,15160.7,5435.6,18946.7,14808.8,19516.8
5485.5,15189.1,16067,15108.4,5467.1,19082.6,14700.2,19435.5
5580.5,15257,16069.8,15071.1,5490.8,19116.1,14599.9,19326.4
5677.4,15339.2,16073.8,15060.7,5505.6,19125.1,14368.5,19182.8
5774.7,15425.8,16107.1,15052.2,5515.7,19125.1,14275.5,19053.6
5870,15517.9,16123,15023.9,5520.9,19123.4,14193.4,18954.9
5963.2,15602.1,16147.2,15006.7,5520.9,19090.4,14121.5,18830.3
6046.1,15678.6,16195.1,15007.6,5516.1,19030.3,14052.4,18704.6
6120.7,15751,16313.9,15024.8,5505.2,18920.3,13993.1,18580.3
6198.3,15832.2,16356.1,15044.5,5493.5,18887.7,13927.1,18454.6
6275.1,15914.2,16397.2,15070.5,5474.8,18860.5,13880,18349.3
6344.3,15981.8,16425.9,15099.2,5470,18824.7,13846.8,18259.4
6407.6,16029.2,16455.1,15115.3,5463.8,18768.9,13827.8,18179.8
6464.6,16073.4,16502.5,15119.5,5452,18701.4,13819,18104.2
6515,16108.7,16558.8,15145.1,5433.2,18637.6,13821.6,18031.4
6556.7,16136.7,16612.8,15193.7,5418,18531.4,13820.7,17894
6592.7,16169.1,16656.7,15237.9,5404.4,18493,13819.9,17848.2
6619,16169.1,16694.2,15275.1,5392,18467,13816.1,17831.2
6625.2,16148,16730.5,15316.3,5385.5,18444.4,13819.1,17826
6625.2,16087.8,16757.9,15358.1,5383.3,18438.1,13857.9,17865.7
6613.4,15994.8,16767.9,15380.9,5379.2,18423,13926,17924
6613.4,15994.8,16767.9,15380.9,5379.2,18423,13926,17924
6541.6,15878.4,16813.9,15393.5,5377.3,18396.4,14003,17969.6
6404,15561.1,16967.4,15527.7,5375.2,18253,14286.7,18063.7
6300.3,15357.3,17095.5,15648.2,5361.1,18143.8,14408.9,18116.7
6178.4,15129.8,17218.3,15761.1,5327.3,18028.9,14556.6,18173.4
6063.2,14902.5,17316.9,15846,5298.5,17956.8,14698.8,18263.6
5964.5,14698.1,17379.9,15907.5,5277.9,17914.4,14826.2,18373.3
5882.8,14516.4,17421.4,15938.6,5266.3,17892.9,14943.7,18495.6
5816.6,14359.1,17436.3,15937.1,5261.1,17891.7,15049.3,18626.4
5744.4,14219.8,17436.3,15937.1,5254.2,17881.2,15153.9,18759.4
5744.4,14219.8,17436.3,15937.1,5254.2,17881.2,15153.9,18759.4
5538.5,13873.1,17479.2,16029,5198,17773.9,15400.3,19041.9
5421.7,13682.7,17587,16096.9,5178.2,17711.4,15546.4,19328.6
5421.7,13682.7,17587,16096.9,5178.2,17711.4,15546.4,19328.6
5286,13293.7,17575.7,16137,5160.2,17654.7,15798.1,19586.7
5265.3,13244.8,17528.8,16092.3,5158.3,17657.8,15897.7,19693.1
5265.3,13238.6,17462.6,16029.5,5158.3,17684.2,15967.3,19780.6
5266.7,13238.6,17386.9,15952.6,5161,17727.3,16014.2,19857.9
5293.4,13275.7,17285.2,15857.6,5171.6,17797.1,16045.9,19917.2
5293.4,13275.7,17285.2,15857.6,5171.6,17797.1,16045.9,19917.2
5342.3,13340.5,17148,15736.4,5196.4,17865.4,16052.8,19948
5500.4,13524.7,16964.3,15439.7,5264.1,17956,15977.1,19930
5500.4,13524.7,16964.3,15439.7,5264.1,17956,15977.1,19930
5592.2,13632,16879,15333.3,5290.6,18007.4,15943.9,19899.8
5780,13881.9,16789.3,15175.3,5316.2,17992.8,15860.5,19819.9
5780,13881.9,16789.3,15175.3,5316.2,17992.8,15860.5,19819.9
5859.5,14019.4,16908.1,15205.6,5310.1,17966.9,15790.7,19737.2
6019.5,14316.8,16879.2,15284.6,5312.8,17981.9,15591.2,19466.8
6019.5,14316.8,16879.2,15284.6,5312.8,17981.9,15591.2,19466.8
6159.2,14542.9,16787,15104,5312.8,17981.9,15457.2,19307.8
6314.1,14777.7,16704.6,15000.9,5308.3,17984.5,15353.2,19081.1
6442.7,14975.5,16637.2,14899.7,5300.4,17974,15272.5,18994.6
6538.2,15129.9,16595.6,14830.8,5292.5,17977.7,15193.6,18918.6
6614.5,15348.1,16555.1,14779.8,5287.7,17985.5,15123.5,18864
6676.6,15429.4,16517.1,14751.4,5271.7,17992.1,15064.8,18820.2
6676.6,15429.4,16517.1,14751.4,5271.7,17992.1,15064.8,18820.2
6689.8,15457.6,16514.4,14747.4,5264.1,17997.7,15052.9,18810.5
6699.8,15481.4,16516.6,14745.5,5262.4,18007.1,15037.5,18803.8
6715.4,15494.7,16476.7,14721,5263.1,18002.8,15020,18807.3
6725.3,15494.7,16501.8,14699.1,5263.1,17984.5,15023.9,18810.8
6730.4,15479.2,16534.1,14718.7,5267.5,17968.5,15033,18785.1
6734.9,15447.3,16527,14751.9,5274.7,17966.1,14986,18740.4
6738,15399.8,16489.9,14729.9,5289.8,17998.8,14999.7,18705.9
6731.6,15320,16473.7,14679.9,5313.3,18034.5,15040.5,18729.1
6711.5,15226.9,16473.7,14679.9,5336.9,18057.9,15088.8,18779.3
6656.8,15078.7,16527.3,14690.6,5363.8,18092.1,15156.8,18841.7
6551.8,14896.6,16605.8,14773.7,5422.4,18100.9,15211.5,18900
6443.9,14719.1,16665.4,14837.6,5449.3,18107,15261.3,18943.6
6367.1,14581.7,16721.1,14888.5,5471.7,18114.9,15317.9,19026.4
6302.4,14456.1,16775.7,14929.8,5490.6,18108,15376.8,19062.8
6171.6,14349.1,16825.7,14995,5509.1,18097.9,15437.5,19093.4
6094.1,14153.2,16940.4,15064.9,5525.3,18092,15477.9,19075.6
6020.9,14048.8,17005.8,15154,5541.1,18071.2,15477.8,19046.4
6020.9,14048.8,17005.8,15154,5541.1,18071.2,15477.8,19046.4
5849.6,13813.9,17150.1,15327.5,5557.6,18033.7,15544.9,19073.3
5762.1,13701.9,17194.9,15405.8,5564.6,18036.8,15591.9,19097.8
5686.9,13643.9,17207.2,15475.9,5572.5,18053.7,15624.2,19127
5613.2,13643.7,17207.2,15516.3,5580.2,18066.5,15645.7,19172.2
5530.5,13650.3,17168.3,15542,5590.5,18069.9,15678.9,19226.2
5449.7,13644.9,17117.2,15550.7,5595.9,18093,15720.5,19271
5449.7,13644.9,17117.2,15550.7,5595.9,18093,15720.5,19271
5399.1,13649.1,17068.3,15555.5,5603.8,18105.9,15788.3,19313.6
5360.8,13690.6,16995.3,15526.8,5610.4,18122.9,15821,19359.4
5358,13773.8,16894.7,15458.3,5619.7,18143.5,15850.6,19406.4
5386.7,13887.8,16709.6,15379.8,5627.2,18162.3,15845.6,19436.2
