L1,L2,L3,L4,R1,R2,R3,R4
8838.7,10182.5,16358.5,19233.6,9523.9,16633,16928.7,11029.4
8907.3,10219.5,16345.1,19192.6,9532,16667.6,16858.8,11009.5
8907.3,10219.5,16345.1,19192.6,9532,16667.6,16858.8,11009.5
8941.2,10241.3,16339.1,19176.8,9532.8,16689,16827.9,10994.1
9005.3,10290.5,16334.1,19143.8,9552.1,16716.8,16741.7,10930.6
9042,10315.4,16336,19131.7,9563,16728.2,16684.1,10898.1
9042,10315.4,16336,19131.7,9563,16728.2,16684.1,10898.1
9173.8,10401,16287.7,18997.3,9593,16804.5,16536.2,10827.9
9173.8,10401,16287.7,18997.3,9593,16804.5,16536.2,10827.9
9273,10465.4,16248.4,18912.1,9609.6,16833.9,16463.6,10797.2
9367.1,10588.5,16217.4,18842.6,9623.1,16853.6,16398.5,10768.1
9444,10628.1,16200.4,18781.4,9631.9,16867.6,16343.1,10743.7
9495.6,10656.4,16196.9,18751.3,9633.4,16872.4,16303.7,10725.6
9528.7,10677.3,16204.5,18747.5,9629.6,16865.3,16277.3,10709.2
9563.2,10682.1,16251.9,18795.4,9611.5,16818.3,16237,10685.2
9563.2,10682.1,16251.9,18795.4,9611.5,16818.3,16237,10685.2
9544.8,10659.7,16290,18860.9,9584.4,16794.7,16229.3,10674
9544.8,10659.7,16290,18860.9,9584.4,16794.7,16229.3,10674
9448.5,10610.7,16368.3,19008.3,9554.4,16746.5,16246.8,10658.5
9401.6,10589.4,16395.9,19073.2,9546.4,16735.3,16254.9,10657.6
9357.4,10575.1,16429.1,19123.6,9546.4,16734.1,16246.6,10653.1
9329,10573.2,16425.4,19148.1,9553.3,16751.4,16226.5,10642.2
9329.7,10590.6,16411.6,19138.4,9564.1,16762.4,16200.9,10629.1
9360.1,10616.4,16398.1,19107.8,9575.8,16761.6,16179.5,10598.4
9388.4,10635.2,16400.5,19086.8,9580,16743.2,16163.2,10583
9404.2,10647.1,16427.7,19096.1,9574.6,16716.5,16155.8,10565.1
9394.4,10639.6,16466.9,19145.7,9565.5,16686.1,16151.4,10546.6
9365.1,10629.8,16508.1,19213.1,9549.4,16658.1,16142.8,10525.4
9329.6,10596.2,16547.1,19287,9540.6,16606.3,16136.5,10499.9
9293.8,10577.5,16583.3,19352.9,9531,16577.6,16126.9,10477
9257.5,10561,16626.3,19424.3,9519.5,16548.8,16109.4,10454.7
9225.2,10555.5,16675.6,19503.2,9509.5,16533.2,16094.7,10429.5
9221.4,10563.2,16712.6,19541.6,9503.8,16542.3,16068.5,10411.4
9222,10576.2,16701.6,19541.6,9505.7,16564.4,16029.3,10404.1
9248.7,10591.1,16680.8,19529,9515.9,16604.4,15985.3,10404.1
9298.8,10597.9,16649.2,19486.7,9529.2,16691.7,15959.6,10407.3
9310.2,10595.7,16609.9,19364.3,9541.2,16731.6,15959.4,10425.6
9320.6,10588.1,16568.9,19299.3,9551.4,16768.4,15976.4,10458.5
9345.9,10587.7,16530.8,19238.4,9559.1,16797.8,15996,10499.3
9382.5,10594.8,16491.1,19172.7,9571.6,16826.2,16016.9,10538.5
9410.1,10602,16446.9,19103.6,9576.7,16856.2,16031.9,10572.8
9410.1,10602,16446.9,19103.6,9576.7,16856.2,16031.9,10572.8
9518,10646.2,16344.6,18936.8,9589.1,16916.3,16019.1,10622.1
9592.5,10690.6,16290.5,18848.5,9594.8,16962.3,16005.3,10626.8
9592.5,10690.6,16290.5,18848.5,9594.8,16962.3,16005.3,10626.8
9721.2,10785.5,16148.7,18692.1,9599.6,16996.9,15989,10637.2
9768.9,10854.6,16110.2,18629.8,9599.8,16996.9,15991.1,10646.3
9768.9,10854.6,16110.2,18629.8,9599.8,16996.9,15991.1,10646.3
9803.3,10876.1,16089.2,18550.8,9597.9,16960.9,16054.7,10686.6
9802.4,10869.8,16086.1,18546.8,9591,16912.7,16112.9,10700.4
9802.4,10869.8,16086.1,18546.8,9591,16912.7,16112.9,10700.4
9781.9,10863.8,16087.2,18549.9,9575.1,16806.2,16172.4,10711
9787.7,10905.3,16084.6,18544.2,9569.7,16729.5,16227.5,10694.1
9787.7,10905.3,16084.6,18544.2,9569.7,16729.5,16227.5,10694.1
9839.9,10958.5,16075.2,18513.8,9570.5,16699.5,16221.5,10662.9
9940.9,11037.3,16103.1,18499.1,9562.5,16633.3,16160.4,10579
9940.9,11037.3,16103.1,18499.1,9562.5,16633.3,16160.4,10579
9981.1,11071.3,16145.6,18532.7,9562.5,16611.1,16072.7,10532.6
